DataSetId,DataSetName,ScheduleId,Interval,DayOfWeek,DayOfMonth,Timezone,TimeOfTheDay,RefreshType,Arn
16364d46-d86b-45dc-b20d-912343eb7134,author_translator_word_info - Redshift,d3650cbc-5aea-4380-94da-d2f5165748e3,WEEKLY,MONDAY,,Asia/Calcutta,10:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/16364d46-d86b-45dc-b20d-912343eb7134/refresh-schedule/d3650cbc-5aea-4380-94da-d2f5165748e3
165ad172-92c9-47be-8aeb-0c7417ceb181,txn_count_verification_for_email_notifications,ec798508-f5bd-487d-85f5-fcecf5fde5d8,DAILY,,,Asia/Calcutta,17:47,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/165ad172-92c9-47be-8aeb-0c7417ceb181/refresh-schedule/ec798508-f5bd-487d-85f5-fcecf5fde5d8
173427fb-be29-473e-9f3a-9cea038fcbbd,WBP Approval Cron Validation,3b4800cf-6ce3-4174-9ef6-1376a5cdbe3c,DAILY,,,Asia/Calcutta,16:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/173427fb-be29-473e-9f3a-9cea038fcbbd/refresh-schedule/3b4800cf-6ce3-4174-9ef6-1376a5cdbe3c
174e9c3a-364d-49a0-b529-732a7b60f635,MoEngage Email Cohorts - on registered user base,75066b14-c47c-4ee0-8881-1f79f213a1c2,WEEKLY,SUNDAY,,Asia/Calcutta,16:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/174e9c3a-364d-49a0-b529-732a7b60f635/refresh-schedule/75066b14-c47c-4ee0-8881-1f79f213a1c2
18360548-416b-466d-93e9-ed3979b6c0a9,W Paying Calendar Week Novel Redshift,f831e497-abe4-451a-bf40-161626b69673,WEEKLY,MONDAY,,Asia/Calcutta,13:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/18360548-416b-466d-93e9-ed3979b6c0a9/refresh-schedule/f831e497-abe4-451a-bf40-161626b69673
1848c5a4-adfa-4364-a69a-3a266c2593a5,notification_received_sent_install_ai_opt_in,27099048-1349-40d2-bf60-252f76efd927,WEEKLY,WEDNESDAY,,Asia/Calcutta,17:01,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/1848c5a4-adfa-4364-a69a-3a266c2593a5/refresh-schedule/27099048-1349-40d2-bf60-252f76efd927
1848c5a4-adfa-4364-a69a-3a266c2593a5,notification_received_sent_install_ai_opt_in,63b0ffc8-468a-41d6-8883-f40a25f51022,WEEKLY,FRIDAY,,Asia/Calcutta,17:01,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/1848c5a4-adfa-4364-a69a-3a266c2593a5/refresh-schedule/63b0ffc8-468a-41d6-8883-f40a25f51022
1848c5a4-adfa-4364-a69a-3a266c2593a5,notification_received_sent_install_ai_opt_in,8f6ea9f8-99d4-4fa7-b67f-b4a06f008a52,WEEKLY,MONDAY,,Asia/Calcutta,17:01,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/1848c5a4-adfa-4364-a69a-3a266c2593a5/refresh-schedule/8f6ea9f8-99d4-4fa7-b67f-b4a06f008a52
189b044b-e907-43c6-82ba-ff9e5718d159,IM Notification experiment,a6ed7c69-cedc-4f00-800b-fded227ac793,DAILY,,,Asia/Calcutta,13:30,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/189b044b-e907-43c6-82ba-ff9e5718d159/refresh-schedule/a6ed7c69-cedc-4f00-800b-fded227ac793
18acc779-6af0-4b37-993d-69802e588e04,Show revenue 13 Weeks,9ae63327-c825-437c-8702-666d36b0cedc,WEEKLY,MONDAY,,Asia/Calcutta,11:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/18acc779-6af0-4b37-993d-69802e588e04/refresh-schedule/9ae63327-c825-437c-8702-666d36b0cedc
190ca0ba-e899-4ed2-9c98-f6741b8ee6da,WBP Drop Off Completion Based Tamil,26e60d5e-f200-45ea-9471-d2a6ba3a7a1a,DAILY,,,Asia/Calcutta,16:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/190ca0ba-e899-4ed2-9c98-f6741b8ee6da/refresh-schedule/26e60d5e-f200-45ea-9471-d2a6ba3a7a1a
193badab-dae4-4506-8d4f-76e89d4567b3,Campaign & Adset wise show LDAU - w.o. Google(Redshift),3ff766e2-2e35-409d-80b2-2cdeaacda00c,DAILY,,,Asia/Calcutta,10:30,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/193badab-dae4-4506-8d4f-76e89d4567b3/refresh-schedule/3ff766e2-2e35-409d-80b2-2cdeaacda00c
19a34289-a486-4287-b50f-fad1289f5476,Median Coins Spend Per day Novels,b0ba8dec-bb92-4164-a597-1d738a699e73,WEEKLY,MONDAY,,Asia/Calcutta,16:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/19a34289-a486-4287-b50f-fad1289f5476/refresh-schedule/b0ba8dec-bb92-4164-a597-1d738a699e73
1a249e66-2167-464f-b769-f84f9162b112,Categorical Data Weekly_RedShift,f3228fb7-5329-4f34-8544-c44d77fdca87,WEEKLY,MONDAY,,Asia/Calcutta,13:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/1a249e66-2167-464f-b769-f84f9162b112/refresh-schedule/f3228fb7-5329-4f34-8544-c44d77fdca87
1a45e7fc-023d-4a8d-ad9d-3393fff646a9,reactivation_rate_of_churned_users Novels,a86d1eea-a156-4025-bbae-4ef7053a0e65,WEEKLY,SUNDAY,,Asia/Calcutta,17:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/1a45e7fc-023d-4a8d-ad9d-3393fff646a9/refresh-schedule/a86d1eea-a156-4025-bbae-4ef7053a0e65
1a549d54-7620-43eb-85f6-67fd47b7d1b3,Secondary Show Discounting Exp Engagement Metrics Automated - redshift,99abb3ef-08d6-4474-9413-cd090640a4dd,DAILY,,,Asia/Calcutta,13:15,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/1a549d54-7620-43eb-85f6-67fd47b7d1b3/refresh-schedule/99abb3ef-08d6-4474-9413-cd090640a4dd
1a648382-fcaa-4476-bed7-c4531884aac9,Active Writer Tracker- WBP Base Redshift,d527d69b-7e50-4ab9-a30d-cd979e209e09,DAILY,,,Asia/Calcutta,17:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/1a648382-fcaa-4476-bed7-c4531884aac9/refresh-schedule/d527d69b-7e50-4ab9-a30d-cd979e209e09
1aa635a6-08dd-4ac8-98a8-5ae16ec6b9bf,Novel Exp Engagement Metrics Weekly,61f07646-0ada-4dfe-b1e6-e513c50e065d,DAILY,,,Asia/Calcutta,12:20,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/1aa635a6-08dd-4ac8-98a8-5ae16ec6b9bf/refresh-schedule/61f07646-0ada-4dfe-b1e6-e513c50e065d
